product_id,composition,detail,fabric,fit,print,style
000a29f9-d1c0-4623-b319-9ad790f20436,viscose,0,batiste,straight,cachemere,boho
0019ca8e-f47d-41c4-8d1a-66c9247581ef,cotton,0,cotton_tshirt,straight,miniprint,boho
001f2644-befa-4845-a4ac-48182b880164,polyester,belt_loop,glen_plaid,straight,prince_of_wales,classic
00823bca-296d-49fe-85c0-1bc50e91f587,polyester,sporty_elastic_band,knit,loose,smooth,street
00855490-a542-4e22-b915-3c9a3f3d8663,viscose,insertion,popeline,loose,sheets,street
00afdb7d-4768-4ba4-b58b-d28e4693e934,cotton,ruffles,cheesecloth,straight,smooth,boho
00c7bc77-ac02-4fe6-83c8-26a4bd2f3e02,cotton,five_pockets,twill,tight,smooth,street
00cef638-ccb2-4ed6-8256-1cd62a187bf3,cotton,patches,cotton_tshirt,straight,horizontal_stripes,casual
00efaf4b-69ac-4ae1-9a17-027ecf6d05af,lyocell,belt_loop,twill,tight,smooth,classic
00f6b0fa-7203-420b-a938-27226d9faeb8,cotton,placket_pocket,tech_fabric,straight,smooth,boho
01141fa7-9b06-4716-834a-a82e77d25e94,polyester,placket_pocket,waterproof,straight,smooth,casual
014db934-9a22-410a-bb15-d70b64d57309,polyester,belt_loop,gabardine,loose,smooth,classic
0153b90a-993d-4d23-aaa7-d31253a7290c,viscose,lateral_opening,cotton_tshirt,straight,smooth,casual
0163b41b-8061-4995-9115-65957ac73525,acrylic,0,jersey,loose,smooth,boho
016c8e92-c49a-4619-95ef-2b4c8aaf338a,viscose,pocket,jersey,straight,smooth,boho
01785177-92ef-40e9-a65f-ea46da938610,viscose,lateral_pocket,batiste,tight,printed,classic
018973b9-3e05-4411-ae3b-daed8c972e2d,rayon,0,cotton_batting,tight,smooth,classic
018c269e-bc72-4161-a3f8-3a65eea2f9fe,acrylic,0,jersey,loose,geometric,street
01cf7c69-68a2-4aaf-85ef-95f2b3d3c14c,cotton,five_pockets,denim,tight,smooth,street
01d0f9c5-db6c-47fd-97ea-5bcf38c60870,cotton,belt_loop,twill,tight,smooth,boho
020728e8-c674-486b-913f-6591a87619a1,cotton,fringes,popeline,0,ethnic,boho
020f5755-ae80-4921-8ee1-6285e1153ddf,polyester,0,jersey,straight,smooth,minimal
021367e3-0137-4490-9442-ce69046baadc,cotton,five_pockets,twill,tight,smooth,classic
0228e13e-5fc3-43b7-b211-3b1208117721,cotton,five_pockets,denim,tight,smooth,casual
0235bddf-aec1-4d1d-98b6-302be490e652,viscose,cordoned_off,artificial,loose,ethnic,boho
025f5f8b-d69a-47fd-9e3a-1266d82b01ad,viscose,writing,cotton_batting,straight,smooth,casual
026d606c-dad6-448b-9fd0-24ed281f59d2,cotton,pocket,mixed,straight,smooth,classic
02716889-035e-4ff7-87cd-d73729fd4c4b,acrylic,0,jersey,loose,smooth,casual
028b4d7d-7bcf-48ae-b699-82981989f7e7,viscose,plaston_pocket,twill,straight,tartan,street
028c8294-8542-4883-9e6e-1290cd06c975,leather,twist,nobuck,0,smooth,boho
02d08e85-c02b-45bd-8578-154c29f891f3,modal,0,knit,straight,smooth,minimal
02f02b75-d07a-4b2a-8eeb-90065eaf2958,cotton,lateral_opening,cotton_tshirt,straight,smooth,casual
03000c2e-33e4-458a-9de1-deebbeed1de3,cotton,lateral_pocket,natural,straight,vertical_stripes,boho
0306c734-daf2-408a-958d-f12024cce49a,polyester,black_pleat,artificial,straight,animal_print,street
031261eb-e061-47a7-92dd-3c2a8bad05e7,polyester,0,crepe,straight,animal_print,street
0330df6b-538c-4bf8-a6c1-037816b66725,cotton,0,jersey,straight,smooth,boho
0347502f-8715-48dd-955b-b2e0e923750f,leather,zippered_pocket,leather,0,smooth,boho
035b64da-ee33-44a3-9751-78758faf650e,viscose,0,knit,loose,smooth,minimal
036a109f-48db-4e5d-8799-3a6d498ec081,modal,sporty_elastic_band,knit,straight,smooth,street
036f0b35-2dbc-497e-ad07-c30e4615153d,cotton,writing,cotton_tshirt,loose,smooth,street
0373bba2-9fd5-4775-a309-ec41bdc8f025,cotton,fake_pocket,artificial,tight,smooth,boho
037e7c44-62da-4975-84f8-797836cba58e,viscose,0,satin,straight,smooth,night
03d8aa2b-4754-482d-b483-662128ac98f9,polyester,vivid,synthetic,straight,smooth,classic
03e0ae12-5abc-42c2-9e4e-bb759917cb15,polyester,lateral_pocket,tech_fabric,straight,smooth,casual
0418339c-f5c4-4334-9efd-320518cde5f1,cotton,five_pockets,denim,tight,smooth,street
04187d66-66b7-4801-830f-89617ac3c9ad,acrylic,0,jersey,loose,smooth,street
0481d5ec-201d-426c-9d9e-1ece39acc3f5,polyester,0,crepe,loose,cachemere,boho
0491fefe-ed47-4361-8f72-a56a733e4ff8,rayon,waist_band,batiste,straight,floral,boho
0496def5-4d0a-4de9-8834-e4538e861ba4,viscose,pointelle,jersey,tight,0,classic
04a76335-e215-4c32-bf11-40cf9dc95284,polyester,lateral_pocket,synthetic,loose,sheets,boho
04d5b652-811d-44ef-b25a-629e69bde8d8,polyester,sparkly,artificial,loose,floral,street
04f16876-fb7c-47e8-9f8d-b00c7dc964c9,cotton,five_pockets,denim,tight,smooth,casual
04f5202a-91f6-463f-97ce-7952a8b7df9f,polyester,belt_loop,knit,straight,smooth,street
05035bb6-bb87-4825-afee-9685be01f279,cotton,lateral_pocket,cheesecloth,straight,smooth,boho
051aa9ac-4111-4106-85d6-4853a66b6720,viscose,plaston_pocket,twill,straight,smooth,boho
052ae075-52d0-46ac-93e8-fcacf6f3dcba,viscose,lateral_opening,cotton_tshirt,straight,smooth,boho
0534feaf-e9d4-40a7-b3bb-95162bf11c76,cotton,0,jersey,straight,animal_print,street
053c3bba-1af1-48d1-b224-d387d0d19985,leather,buckle,nobuck,0,smooth,boho
0572ab4f-483a-4ad1-953f-67332b53a306,acrylic,0,jersey,oversize,pied_de_poule,boho
058f4cf3-7013-464e-a620-49891f73c0a6,acrylic,0,knit,0,checked,boho
05ac5eeb-c992-4606-b4e1-d31ec2df5501,cotton,belt_loop,denim,tight,smooth,street
05b7ad2d-50bf-4356-8d5f-8c32cabd5120,viscose,lateral_pocket,crepe,loose,ethnic,street
